Feature,Saliency
sideslipFL,0.013800021488469615
FxFL,0.014419477500324443
sideslipFR,0.013670904561368886
brake,0.014045938186923968
RR,0.014088898886940197
FyFR,0.013859001474300456
longslipRR,0.01388619917492671
RL,0.013998756212371455
FyRL,0.01365923022408563
yawrate,0.013546499140778207
steeringangel,0.014468261216958786
slip1,0.013774124274079131
az,0.013862419474728133
x,0.01406126024758679
ax,0.014615460079596439
yaw,0.013732521967897822
pitch,0.014196999261245197
FxFR,0.013619966944272926
FxRL,0.014310336337266204
vx,0.01507090125881099
y,0.014891574068775799
FyRR,0.013933803008357877
pitchrate,0.014445109611481844
vy,0.013652066714775963
longslipFR,0.013046568088405298
FxRR,0.013708251485230978
rollrate,0.013702016857332716
signal,0.013870258301630713
ay,0.013675283029823926
slip,0.014316732679772308
longslipFL,0.01433031800951337
gas,0.013402665063167422
FL,0.014123478950754694
FyFL,0.014361156169508124
sideslipRR,0.01317334389995263
longslipRL,0.013897326014255779
FR,0.014559767744427661
sideslipRL,0.014249645305724253
roll,0.013916632798413937
signal.1,0.014792475933270065
